iteration,chain,acceptance_rate,alpha[1],alpha[2],alpha[3],alpha[4],alpha[5],alpha[6],alpha[7],alpha[8],alpha[9],alpha[10],alpha[11],alpha[12],alpha[13],alpha[14],alpha[15],alpha[16],beta[1],beta[2],beta[3],beta[4],beta[5],beta[6],beta[7],beta[8],beta[9],beta[10],beta[11],beta[12],beta[13],beta[14],beta[15],beta[16],hamiltonian_energy,hamiltonian_energy_error,is_accept,log_density,lp,max_hamiltonian_energy_error,n_steps,nom_step_size,numerical_error,step_size,tree_depth
11,1,0.9346619526700259,0.8389220093167392,0.9921369217923012,0.997719790381038,0.9595003233720336,0.9604928307706745,0.930855371817266,0.7791796413304883,0.9574360881868438,0.9584815318811312,0.9823554352077839,0.9210881836590606,0.7398726880468002,0.8951504051292185,0.7784028695325443,0.8501783752649986,0.6688923966718615,0.4216245355067652,0.4611581111779878,0.36317323126143525,0.2867131115433838,0.22428234681149795,0.22955877931816424,0.2051797979269734,0.32307839330656685,0.24199683192594407,0.23590610093026432,0.25424875966658295,0.2835552557417976,0.2381137862417605,0.3437335673382007,0.16988619272552571,0.19913412385458695,1451.5812548216024,0.06970397790655625,1.0,-1435.1567165186168,-1435.1567165186168,0.2731794128353613,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
12,1,0.9987910094003862,0.5102915105603848,0.9915250712751281,0.8723790464228942,0.9335579929339848,0.9398866659819144,0.9292506848759942,0.992305781149406,0.9408119815736103,0.8273623747725966,0.9985629748154948,0.9533466569768633,0.7552574802912486,0.9447314707065594,0.8976215652899826,0.8588900344265193,0.2803823089809248,0.1723874365280874,0.21270992905676622,0.23223037329956583,0.13446131159691163,0.1375775549402055,0.21903191097098262,0.1451087815757859,0.27831858098534507,0.22662056888435902,0.24363298875480058,0.27702090962337483,0.28208270206893915,0.24432775472095863,0.24556190327910826,0.2594209092253033,0.277614374779886,1448.4233829457178,-0.08889378724779817,1.0,-1431.7884920339839,-1431.7884920339839,-0.22757649709728867,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
13,1,0.8438718682511817,0.936218567980852,0.712166720892577,0.9884906669302451,0.9940493957509416,0.8627346773045909,0.960801095865729,0.7831945079598798,0.9812265829192756,0.9667106774116991,0.9262704541278466,0.8636254885787891,0.8533948242098645,0.9260222829823056,0.6842774547591282,0.8706932055019412,0.1122302206063235,0.49340485002308015,0.6164217587186516,0.2882228142230137,0.3354934156126115,0.21367661289797416,0.23569173292523218,0.19489604201090893,0.27812813117359175,0.2866451920262326,0.2601417831091563,0.25674926701947354,0.26622942543640904,0.23417051334137406,0.3128603635190378,0.30539482292615217,0.9471985517563768,1449.30027524154,0.17096580860152244,1.0,-1437.2073710470281,-1437.2073710470281,0.4447929982916321,15.0,0.17893333929259492,0.0,0.17893333929259492,4.0
14,1,0.9058800051841074,0.8955786780748086,0.989670126247095,0.8282090367455077,0.9488509441243693,0.8126384094708422,0.955531944216536,0.9880413777756968,0.9944918885181893,0.8324647123145831,0.9287375292270954,0.8549011957107748,0.8119288132721726,0.9366056166287422,0.9545585437044842,0.7163011815640553,0.7697219456986889,0.100747800214265,0.1962474914565523,0.15847938964657207,0.14853349506255184,0.3131288472642178,0.26357126344055826,0.13678000590225473,0.25185435706051235,0.20693512440496978,0.2668246649085908,0.30290071260549933,0.2719906817135533,0.26453435019843174,0.23483800057192106,0.32325410940197763,0.0892358163585657,1454.2607568648036,0.1782244945459297,1.0,-1436.0659290728788,-1436.0659290728788,-0.5341984874787613,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
15,1,0.9963164186350262,0.9135668570902099,0.6644245449770781,0.9926991287503749,0.9814768605963127,0.9496182244542816,0.9306655095573303,0.7960659656593989,0.9907362373370405,0.9547869023861894,0.984108760762313,0.8459289146277459,0.720395758190684,0.9152339018126854,0.9021177643587772,0.8488997465396527,0.3177306107639895,0.4706471287173485,0.5550091524327283,0.35305117388088697,0.26247120923818207,0.15358582216707045,0.29070723721486524,0.256731849254054,0.2763873269033518,0.235744654993706,0.20914203658055064,0.24809433845435983,0.2980974748400878,0.28563344549518327,0.2537099918800899,0.27433851971140194,0.3226898018276909,1448.5905677613623,-0.2867290636211237,1.0,-1433.4508487404526,-1433.4508487404526,-0.7563928567076346,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
16,1,0.9644507102500651,0.8791774598337184,0.8903462701843884,0.9937300870963741,0.9755850443212004,0.8338936633698114,0.9515937957541859,0.9414013116958369,0.9899625660246107,0.9129292701184832,0.9847460777336402,0.9291535742646811,0.7657569589997841,0.8591757706320818,0.8804452268673801,0.9148814436695346,0.20763856133630276,0.4304968681364742,0.6417625690739959,0.34095879182039485,0.22429045094806319,0.1531407741046517,0.3069904174821396,0.21853544305617126,0.2670671851893332,0.2095937633426266,0.20922986273887587,0.24926622034975834,0.28899829107283265,0.27907281543071305,0.2627972232353849,0.2723079612167744,0.474768092605742,1448.2179101102379,-0.06068336473754243,1.0,-1428.4182734695357,-1428.4182734695357,-0.223128054834433,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
17,1,0.9347753056225028,0.38288978273758517,0.8470499672661688,0.9733185825315047,0.976606188018986,0.8845817672553117,0.9383103601684206,0.9641916829988297,0.9351138901979453,0.9291050860250719,0.9953319199601995,0.9085851193669519,0.7729620889212826,0.9725866916936954,0.9164994148079112,0.9844295729068168,0.2703470751274934,0.4214362256334176,0.20984182255664946,0.19784011859999012,0.1860328581907222,0.20667816085102517,0.20917937241358028,0.15614607401893293,0.25938344691319204,0.288602538952045,0.24124114519103265,0.28968180082261674,0.2999337305168829,0.2440082712454075,0.24605517789502165,0.1527951406823123,0.29348504464281155,1444.978201095538,-0.01859815280863586,1.0,-1427.9036325830605,-1427.9036325830605,0.1557279840915271,15.0,0.17893333929259492,0.0,0.17893333929259492,4.0
18,1,0.9826209231371554,0.5192055567823498,0.9140722278860037,0.99061785527677,0.98317265191105,0.8138290875116998,0.9754479249461563,0.9640969583390727,0.9499316917085993,0.9614568446107753,0.9921114149037527,0.7905619425557395,0.7872819138390942,0.9691886185497429,0.8443121390465441,0.9913090875343328,0.22353239172111958,0.29116360203749897,0.21769726245265025,0.19574408385296188,0.16733833167125237,0.20445263089376142,0.21547384679523873,0.18217178953861438,0.2595823973907288,0.2537675502918448,0.22426977946083382,0.27114285667739796,0.2938016166967021,0.26066776917933726,0.2871502602774732,0.2517259789545452,0.4417195987158112,1440.044662363329,0.0072846460193431994,1.0,-1427.4554973587622,-1427.4554973587622,-0.13538469113814244,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
19,1,0.8866068325055134,0.8299518995207679,0.9708404661556657,0.9916310934809269,0.9433296255459183,0.8644186290887005,0.9677099750647445,0.9158305953613856,0.9777603319749798,0.9872751170077062,0.9918243869622313,0.8926733281045669,0.7592298176168784,0.9440405115353095,0.7060778470139167,0.9419059118719759,0.1651049342924251,0.13696509720724556,0.5243999796820301,0.4388707571803458,0.17127491396280428,0.2643277406033255,0.24145183512623636,0.1407263792182132,0.29447549577147347,0.2334458621124344,0.2268644402886413,0.28232714715737517,0.26800901936256327,0.2685843300431344,0.32089504618819215,0.17733427592655235,0.6072451362720166,1440.2338074810507,0.1126638553439534,1.0,-1431.3241806263325,-1431.3241806263325,0.24507577206736642,15.0,0.17893333929259492,0.0,0.17893333929259492,4.0
20,1,0.9406317555994953,0.7871308731268627,0.8159057098591821,0.9969811834704327,0.9918330289347117,0.8917415858074317,0.9490755080895694,0.9317089490078059,0.9667135600326124,0.9859827210436425,0.9988685170757833,0.7893332045107989,0.9315656347613369,0.8746052144056163,0.9242613305783615,0.48395595759838045,0.9305090573355043,0.1328158120831907,0.3616952534200837,0.1455042251393184,0.26905537995578427,0.1744033987171886,0.19859995187250806,0.27586657950404114,0.3173624499195183,0.25864785451730127,0.2319256074240301,0.27912422152790506,0.2566168509118683,0.2926467196752833,0.3106888158819313,0.45142727199781235,0.2879905181856098,1454.5559694477272,0.10753150250798171,1.0,-1440.605178311868,-1440.605178311868,-0.526299792638838,15.0,0.17893333929259492,0.0,0.17893333929259492,4.0
21,1,1.0,0.3862817965587373,0.8539912186482628,0.9850489618329443,0.9245475699549758,0.8010200833738919,0.97917905742296,0.9348104295966724,0.8947269708824819,0.9718663221635319,0.99778019648866,0.8656594481251801,0.8876113097549975,0.8602587960199902,0.8031317424586251,0.7302611862394588,0.6463679965838404,0.15032539048474086,0.290052217365045,0.1658870324022707,0.19672677068917135,0.20273591072253383,0.26506533544797106,0.18155236933394064,0.3111367985300486,0.2195629534531927,0.2519334269232664,0.2541114260368481,0.2661201965633917,0.2630671825408298,0.27079760861483293,0.2979598844579325,0.17324589773920007,1451.173054207894,-0.7169948586549708,1.0,-1428.9164782772855,-1428.9164782772855,-0.7662666024277769,15.0,0.17893333929259492,0.0,0.17893333929259492,4.0
22,1,0.6654444215390107,0.9852246489625347,0.9654057688427022,0.9575253969634764,0.9868233386781525,0.9079077664200298,0.8855484503208498,0.9246802190656594,0.9968500910250894,0.9829503245548138,0.9599508233864562,0.8247479389201651,0.901124707155147,0.8705417281698341,0.9790160871525857,0.7571202078744865,0.5786584924222657,0.4278818952059014,0.29090631494517655,0.33791342939772995,0.14708864777682595,0.22452772003548213,0.19240286189896133,0.1909272064877113,0.2175416076885125,0.2742270399694648,0.23223721080829843,0.33304239603220104,0.24600419839665305,0.250592491409187,0.23538667804772723,0.19427099057492325,0.23566853675565255,1444.3592283900534,0.42749823542476406,1.0,-1431.1149370293444,-1431.1149370293444,0.8283780008332542,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
23,1,0.610935650670739,0.994523634453701,0.8324456756416982,0.9381666233208281,0.9529594618612566,0.8128802438143018,0.9943121844280677,0.9127270490362119,0.9192707968372731,0.889136707175913,0.9790141904606079,0.9111502321169047,0.8188766136806196,0.9788564221509674,0.8674493515601608,0.635291696623029,0.819074051065492,0.34619326168355,0.41966490226698594,0.17060951833030832,0.2056883762652765,0.23852548236771862,0.3321666348851856,0.18843127407461652,0.29102787142385717,0.2310658544274331,0.24526623270376627,0.27122924888572264,0.2567976903857748,0.21874055252662636,0.25914627651848704,0.21373953859145625,0.22361079490321997,1449.063305695996,0.026553180782457275,1.0,-1431.8624685020475,-1431.8624685020475,1.4983039997723608,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
24,1,0.9522599632612919,0.33941235841805467,0.9882945691378026,0.9815380399327903,0.9804765473700412,0.9625721874165115,0.8996683742566759,0.9193695391007489,0.9967854607263655,0.9365833328302251,0.9835972885580058,0.846424390791604,0.7761357370910945,0.9230591721373905,0.9326215106395103,0.5087425418840801,0.296326398190943,0.13000368871840007,0.24842758611506746,0.32218172469789713,0.19072179745553544,0.17016321463823428,0.13247467975550098,0.17768985288605096,0.19602436853718005,0.2226509835715178,0.23223669920040935,0.28673703259991357,0.2794783079143857,0.3065624861028103,0.2673523491026824,0.36229312863710017,0.7767964437790104,1445.2847670489487,-0.32305497126412774,1.0,-1433.1129308707384,-1433.1129308707384,-0.6801406867039077,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
25,1,0.9838999710326398,0.43777989306649845,0.9881042281873448,0.9755799696869069,0.9809520893114241,0.9554395883365816,0.9131345002657982,0.9096150052691596,0.9967212409212288,0.9063976252386443,0.9843826462518335,0.860492333363206,0.7595399329893665,0.9400363722492495,0.9351794623611588,0.512339809090237,0.20930801382179082,0.1351541385213145,0.2916846879409694,0.2989762808012176,0.19904370077635086,0.17927860782551147,0.1297255945706982,0.17615643328635613,0.20111550498969763,0.22519896144474377,0.23205591730522435,0.28723926093086516,0.28882484791331364,0.3088782636663294,0.26899547033253896,0.3785787530384572,0.73697616813675,1446.503021689197,-0.38994548369146287,1.0,-1429.4815903277897,-1429.4815903277897,-0.38994548369146287,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
26,1,0.8867564460228283,0.9134704069493691,0.9904714271246817,0.949367330987007,0.9872728645369027,0.8981569816485812,0.9877695493422473,0.9070300218601219,0.947139936013979,0.8880600738043254,0.9938918128556918,0.8334005863591301,0.8491261695791879,0.9077582773987645,0.9978126881039129,0.8939120823156315,0.42728285325593984,0.17696239953458398,0.19752584280771698,0.2843088600097251,0.16195637089624074,0.14626624458645582,0.24106690959904264,0.176807603629253,0.2868405637602349,0.250487819102301,0.26886013535172326,0.3253460772011727,0.2507269485351375,0.25481825663764684,0.2536233190399685,0.1984632198419038,0.1878189873435238,1448.4491196327922,0.07776076568507051,1.0,-1428.8665805284784,-1428.8665805284784,0.18369516509324058,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
27,1,0.9459777796034403,0.7234890012902269,0.7886962671692118,0.954890731322603,0.9577237688680804,0.9291711670462589,0.8648570927040206,0.9690098721812911,0.9859108810076621,0.9805749244037919,0.9459061196961697,0.973269481557851,0.6978348584472374,0.9426987480810226,0.999343340910178,0.37234292864978774,0.6223379047239797,0.2694657978275299,0.3791303957363184,0.23207702039793424,0.23726992146601775,0.2287869861697931,0.2796816522828306,0.1429941209740703,0.22396255000209667,0.20745370035048002,0.25465556919392635,0.22160012250998104,0.3152515739590935,0.2558928661990355,0.2503698831451588,0.40656800357722905,0.29843408789370657,1445.1256222095087,0.023958957611057485,1.0,-1431.6316407947606,-1431.6316407947606,0.19741665276546883,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
28,1,0.9495233329900186,0.8122233055895095,0.965019614116195,0.9565215009417412,0.9861404643056998,0.870433241332382,0.9305190850903611,0.8834211659654362,0.9979004382781383,0.893389638179251,0.9989187163651788,0.8163335752746873,0.9376412088171239,0.9753419465540587,0.9108225651804999,0.9720322054448641,0.1887194770136627,0.21430044914631577,0.35833160928014846,0.21858472428404283,0.1424662711056255,0.19314608557958415,0.13214257455820339,0.1553332135412904,0.2810183352194312,0.25356107140095796,0.2428342504095698,0.2934067991639029,0.25801515325459823,0.22518951341618895,0.2842817541326321,0.18039910106946555,0.5994946408901969,1446.2649867037499,0.22084968491503787,1.0,-1433.991667256118,-1433.991667256118,-0.31604499564991784,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
29,1,0.9000421524351754,0.711488849009424,0.9044913819846687,0.9859338670405587,0.9671278179604254,0.9142055471512536,0.9778925437616143,0.9693412605434122,0.9992093746494892,0.9018523823230659,0.9023781581635157,0.897077933422977,0.8082305805324188,0.8970887431771283,0.8298935386260406,0.8383931627822745,0.7684212043727242,0.5793322371505661,0.2175454481341099,0.21326818239169917,0.18542551534874543,0.23803098387448288,0.1523559087812399,0.12813282000373227,0.208023987058323,0.25320699884956493,0.2558314743410254,0.29768743501030565,0.27892171122169873,0.26455282923156753,0.27614936099537385,0.2271639653545717,0.13946701364105882,1447.8321146460357,-0.5419057263477498,1.0,-1429.0106007817278,-1429.0106007817278,-0.5884917158502958,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
30,1,0.8712962678401156,0.8016397458513935,0.9500145177636463,0.9600736515273469,0.9942212938419224,0.8760013052625306,0.9261888892061241,0.9779266112762651,0.9947879854666095,0.8388512753985626,0.9917339247223582,0.8696599311581662,0.8595897558637675,0.9290170382198935,0.9250227400712551,0.7571293184406449,0.1873457379141115,0.12182020697546053,0.24826226388598505,0.2847850753410668,0.2716113544279436,0.1441883484613321,0.21949877604421308,0.23856124758111635,0.27401829561362623,0.21199210377367494,0.26450146747332415,0.254714762116923,0.21304043520930346,0.2442328741163806,0.26285902619725304,0.26540762436135124,0.4376054692063138,1442.281245501264,0.2083788369418471,1.0,-1429.5721933105008,-1429.5721933105008,0.31741603680370645,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
31,1,0.8632287024101559,0.7968342109378322,0.9276255932749082,0.9514891545075421,0.9276927770512148,0.9151971377309638,0.9166345037419,0.9940417658015717,0.942047088263336,0.9376182465219278,0.9515702744053162,0.8710693426361791,0.8015777642497173,0.9504014868110899,0.8611976343492271,0.5729579841748366,0.409893281544262,0.42704348732862746,0.39697372812784326,0.16561314571845315,0.1342074420538496,0.2896659448162513,0.24879839528530787,0.11754167512841006,0.17307717583671828,0.27728828699175057,0.23682619380567077,0.2604420179692926,0.35826891147271844,0.28755780765688704,0.30623215429025086,0.24992075319009188,0.3166432889722596,1446.931620815909,0.16800062384572811,1.0,-1432.9744662183691,-1432.9744662183691,0.6511886135763234,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
32,1,0.9534457144266549,0.9307751829090103,0.8583616316350446,0.9785727812381766,0.9617797485536099,0.9303181448464163,0.8679912467520087,0.9998938402416967,0.9778586176861507,0.9841967848035141,0.9057517093148474,0.8495002990794058,0.9664104207593686,0.8096859533537946,0.9325008068495377,0.9865618021314969,0.2563638844429071,0.2564056525886427,0.38723027481882083,0.2190388880202588,0.1847272707804702,0.18674239454656041,0.21870586292426406,0.21344716900193295,0.3122409588019422,0.19762755598901413,0.23443184184130317,0.21909757149813877,0.24484971600665875,0.24026291785283108,0.24641289780462755,0.17961390202711686,0.29954786546284257,1452.6155033649927,-0.13045550532592642,1.0,-1437.0792315694273,-1437.0792315694273,0.24396460939101416,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
33,1,0.6858387596019094,0.5954862307466136,0.9584017452615582,0.9337724013477863,0.9920059971558135,0.9109457633531175,0.9671376750356523,0.9536963174842757,0.9644908104191391,0.8898952647669042,0.9810718011113461,0.8632428896051881,0.8160189407536192,0.9385539158054135,0.9022628228171913,0.6705909950853777,0.07963399831390458,0.21225323042516608,0.29872786588725336,0.26252564451401667,0.22616139744265384,0.2428536072953021,0.2513688401980016,0.1409675112702473,0.1774735849803724,0.26614457797560176,0.26177199698395026,0.32444257001366444,0.25257555517241304,0.26780406406889173,0.2296892980489186,0.3085072156944904,0.9292582907413108,1449.39264440524,0.5702843612266406,1.0,-1429.527493711659,-1429.527493711659,0.8754373733265766,31.0,0.17893333929259492,0.0,0.17893333929259492,5.0
34,1,0.7689680992232847,0.7337888463440277,0.9205244132077555,0.933345429088032,0.9968815695566221,0.8525386574869525,0.899553736431368,0.8386569731638478,0.9683379947084984,0.9402685632829955,0.9758626337232693,0.8857601390338483,0.8267643917900939,0.8967291129741294,0.9458109002188347,0.5391653927730833,0.27548741085575257,0.5298052458677551,0.4304328306976244,0.25074526454599627,0.163059232141404,0.23928328236548208,0.2673968306087093,0.1479838489401301,0.17876806740642584,0.22797787758455418,0.26596033820256487,0.280436256311834,0.31752750872148894,0.22557537930569366,0.29986296580824084,0.29759071883772714,0.5895977122805761,1447.8105425063463,-0.8009979849118736,1.0,-1431.223526273423,-1431.223526273423,1.2972266100043726,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
35,1,0.985201717154665,0.7116348071237699,0.9600884810912182,0.9233623087986629,0.9954991008733576,0.8013629695603169,0.9765301537892819,0.9214095366294208,0.9811307994424927,0.9603717802567934,0.980806171596508,0.7173729201675644,0.8473736257247867,0.9584461942458794,0.867438903877703,0.5976631430612149,0.405147789972132,0.49597826248301774,0.4608965940210594,0.3178092556220263,0.1606256319747171,0.18388698512266846,0.2431738624987916,0.15186229684325567,0.17029158159400756,0.24307715849400813,0.25134052090448045,0.35278497723074204,0.2970402033591739,0.23066664421906868,0.28284078364868864,0.4156137044151584,0.3833532464663803,1447.3827682152323,0.023657931490561168,1.0,-1432.0209156991316,-1432.0209156991316,0.1593469794477187,31.0,0.17893333929259492,0.0,0.17893333929259492,4.0
